"ZNWKER",0,2,0,0,0
"ZNWKERC",0,2,0,0,0
"ZHT1",0,0,0,0,0
"ZHT2",0,0,0,0,0
"ZCOOL",0,0,0,0,0
"ZWATR",0,0,0,0,0
"ZCOOK",0,0,0,0,0
"ZMANU",0,0,0,0,0
"ZCAPGEN",0,0,0,0,0
"ZGENR",0,0,0,0,0
"ZELUSED",0,0,0,0,0
"ZNGUSED",0,0,0,0,0
"ZFKUSED",0,0,0,0,0
"ZPRUSED",0,0,0,0,0
"ZSTUSED",0,0,0,0,0
"ZHWUSED",0,0,0,0,0
"ZCWUSED",0,0,0,0,0
"ZWOUSED",0,0,0,0,0
"ZCOUSED",0,0,0,0,0
"ZSOUSED",0,0,0,0,0
"ZOTUSED",0,0,0,0,0
"ZELHT1",0,0,0,0,0
"ZNGHT1",9,0,9,0,9
"ZFKHT1",0,9,9,0,0
"ZPRHT1",0,9,0,9,9
"ZSTHT1",9,9,9,9,9
"ZHWHT1",9,9,9,0,0
"ZWOHT1",9,9,9,9,9
"ZCOHT1",9,9,9,9,9
"ZSOHT1",9,9,9,9,9
"ZOTHT1",9,9,9,9,9
"ZELHT2",0,0,0,0,0
"ZNGHT2",9,0,9,0,9
"ZFKHT2",0,9,9,0,0
"ZPRHT2",0,9,0,9,9
"ZSTHT2",9,9,9,9,9
"ZHWHT2",9,9,9,0,0
"ZWOHT2",9,9,9,9,9
"ZCOHT2",9,9,9,9,9
"ZSOHT2",9,9,9,9,9
"ZOTHT2",9,9,9,9,9
"ZHEATP",0,0,9,0,0
"ZHTLS50",9,9,9,9,9
"ZFURNAC",0,0,9,0,0
"ZPKGHT",0,0,9,0,0
"ZBOILER",0,0,9,0,0
"ZSTHW",0,0,9,0,0
"ZHTPMPH",0,0,9,0,0
"ZSLFCON",0,0,9,0,0
"ZOTHTEQ",0,0,9,0,0
"ZFURNP",9,9,9,9,9
"ZPKGHP",9,0,9,0,1
"ZBOILP",9,9,9,9,9
"ZSTHWP",9,9,9,0,1
"ZHTPHP",9,9,9,9,9
"ZSLFCNP",0,9,9,0,9
"ZOTHTP",9,9,9,9,9
"ZMAINHT",0,2,9,0,0
"ZNWMNHT",0,0,9,9,9
"ZPKGHTTYP",9,2,9,0,0
"ZPKGFURN",9,0,9,0,0
"ZPKGHTP",9,0,9,0,0
"ZPKGCOIL",9,2,9,0,0
"ZPKGPIU",9,0,9,0,0
"ZPKGDUCT",9,0,9,0,0
"ZBLRRAD",9,9,9,9,9
"ZBLRFNCL",9,9,9,9,9
"ZBLRINDC",9,9,9,9,9
"ZBLRLOOP",9,9,9,9,9
"ZBLRAIR",9,9,9,9,9
"ZBLRPKG",9,9,9,9,9
"ZBLRDUCT",9,9,9,9,9
"ZDHRAD",9,9,9,0,1
"ZDHFNCL",9,9,9,0,1
"ZDHINDC",9,9,9,0,1
"ZDHLOOP",9,9,9,0,1
"ZDHAIR",9,9,9,0,1
"ZDHPKG",9,9,9,0,1
"ZDHDUCT",9,9,9,0,1
"ZHPHPKG",9,9,9,9,9
"ZHPHSPLT",9,9,9,9,9
"ZHPHROOM",9,9,9,9,9
"ZHPHMINI",9,9,9,9,9
"ZHPHVRF",9,9,9,9,9
"ZHPHAIR",9,9,9,9,9
"ZHPHGRD",9,9,9,9,9
"ZHPHDUAL",9,9,9,9,9
"ZHPHWTR",9,9,9,9,9
"ZHPHBKUP",9,9,9,9,9
"ZSHRDNT",0,9,9,0,9
"ZSHBBRD",0,9,9,0,9
"ZSHPORT",0,9,9,0,9
"ZSHWALL",0,9,9,0,9
"ZSHFURN",0,9,9,0,9
"ZSHUNIT",0,9,9,0,9
"ZSHPTAC",0,9,9,0,9
"ZHTVCAV",9,0,9,0,0
"ZHTVVAV",9,0,9,0,0
"ZHTVFLR",9,0,9,0,0
"ZHTVOAS",9,0,9,0,0
"ZHTVDEM",9,0,9,0,0
"ZHTVNON",9,0,9,0,0
"ZELCOOL",0,0,0,0,0
"ZNGCOOL",9,0,9,0,9
"ZFKCOOL",0,9,9,0,0
"ZPRCOOL",0,9,0,9,9
"ZSTCOOL",9,9,9,9,9
"ZHWCOOL",9,9,9,0,0
"ZCWCOOL",9,9,9,0,0
"ZOTCOOL",9,9,9,9,9
"ZCOOLP",0,0,9,0,0
"ZRCAC",0,0,9,1,0
"ZPKGCL",0,0,9,0,0
"ZCHILLR",0,0,9,0,0
"ZCHWT",0,0,9,0,0
"ZHTPMPC",0,0,9,0,0
"ZACWNWL",0,0,9,0,0
"ZEVAPCL",0,0,9,0,0
"ZOTCLEQ",0,0,9,0,0
"ZRCACP",9,9,9,9,9
"ZPKGCP",9,0,9,0,0
"ZCHILP",9,9,9,9,9
"ZCHWTP",9,9,9,0,0
"ZHTPCP",9,9,9,9,9
"ZACWNWP",0,9,9,9,9
"ZEVAPP",9,9,9,9,9
"ZOTCLP",9,9,9,9,9
"ZMAINCL",0,2,9,0,0
"ZNWMNCL",0,0,9,9,9
"ZPKGCLTYP",9,2,9,0,0
"ZCHLAIRCL",9,9,9,9,9
"ZCHLWTRCL",9,9,9,9,9
"ZCHLABSRP",9,9,9,9,9
"ZHTRCHLR",9,9,9,9,9
"ZCHLAIR",9,9,9,9,9
"ZCHLFNCL",9,9,9,9,9
"ZCHLINDC",9,9,9,9,9
"ZCHLLOOP",9,9,9,9,9
"ZCHLBEAM",9,9,9,9,9
"ZCHLPKG",9,9,9,9,9
"ZCHLDUCT",9,9,9,9,9
"ZDCWAIR",9,9,9,0,0
"ZDCWFNCL",9,9,9,0,0
"ZDCWINDC",9,9,9,0,0
"ZDCWLOOP",9,9,9,0,0
"ZDCWBEAM",9,9,9,0,0
"ZDCWPKG",9,9,9,0,0
"ZDCWDUCT",9,9,9,0,0
"ZHPCPKG",9,9,9,9,9
"ZHPCSPLT",9,9,9,9,9
"ZHPCROOM",9,9,9,9,9
"ZHPCMINI",9,9,9,9,9
"ZHPCVRF",9,9,9,9,9
"ZHPCAIR",9,9,9,9,9
"ZHPCGRD",9,9,9,9,9
"ZHPCDUAL",9,9,9,9,9
"ZHPCWTR",9,9,9,9,9
"ZCLVCAV",9,0,9,0,0
"ZCLVVAV",9,0,9,0,0
"ZCLVFLR",9,0,9,0,0
"ZCLVOAS",9,0,9,0,0
"ZCLVDEM",9,0,9,0,0
"ZCLVNON",9,0,9,0,0
"ZEMCS",0,2,9,0,0
"ZRDHTNF",0,2,9,0,0
"ZHWRDHT",0,1,9,9,9
"ZRDCLNF",0,2,9,0,0
"ZHWRDCL",0,1,9,9,9
"ZECN",9,0,9,0,0
"ZECNTYPE",9,9,9,0,9
"ZMAINT",9,0,9,0,0
"ZELWATR",0,0,0,0,0
"ZNGWATR",9,0,9,0,9
"ZFKWATR",0,9,9,0,0
"ZPRWATR",0,9,0,9,9
"ZSTWATR",9,9,9,9,9
"ZHWWATR",9,9,9,0,0
"ZWOWATR",9,9,9,9,9
"ZCOWATR",9,9,9,9,9
"ZSOWATR",9,9,9,9,9
"ZOTWATR",9,9,9,9,9
"ZWTHTEQ",0,2,0,0,0
"ZBOOSTWT",9,1,9,9,9
"ZINSTWT",9,9,9,0,9
"ZELCOOK",0,0,0,0,0
"ZNGCOOK",9,2,9,0,9
"ZFKCOOK",0,9,9,0,0
"ZPRCOOK",0,9,0,9,9
"ZSTCOOK",9,9,9,9,9
"ZHWCOOK",9,9,9,0,0
